FinancialYear,Month,ReportDate,Metric_name,SiteDesc,Business_Unit,Indicator_Code,Performance,Remarks
2015/2016,Jan,01/01/2016,Pre-procedure elective bed days,ROYAL FREE HOSPITAL,Barnet Hospital,BD002,0.397163121,
2015/2016,Jan,01/01/2016,Pre-procedure elective bed days,ROYAL FREE HOSPITAL,Group Clinical Services,BD002,0.5,
2015/2016,Jan,01/01/2016,Pre-procedure elective bed days,ROYAL FREE HOSPITAL,Royal Free Hospital,BD002,0.629290618,
2015/2016,Jan,01/01/2016,Pre-procedure elective bed days,ROYAL FREE HOSPITAL,NA,BD002,0,
2015/2016,Jul,01/07/2015,Pre-procedure elective bed days,BARNET HOSPITAL,Barnet Hospital,BD002,0.022222222,
2015/2016,Jul,01/07/2015,Pre-procedure elective bed days,BARNET HOSPITAL,Group Clinical Services,BD002,0,
2015/2016,Jul,01/07/2015,Pre-procedure elective bed days,BARNET HOSPITAL,Royal Free Hospital,BD002,0.166666667,
2015/2016,Jul,01/07/2015,Pre-procedure elective bed days,CHASE FARM HOSPITAL,Barnet Hospital,BD002,0,
2015/2016,Jul,01/07/2015,Pre-procedure elective bed days,CHASE FARM HOSPITAL,Royal Free Hospital,BD002,0,
2015/2016,Jul,01/07/2015,Pre-procedure elective bed days,Others,Royal Free Hospital,BD002,1,
2015/2016,Jul,01/07/2015,Pre-procedure elective bed days,ROYAL FREE HOSPITAL,Barnet Hospital,BD002,0.305970149,
2015/2016,Jul,01/07/2015,Pre-procedure elective bed days,ROYAL FREE HOSPITAL,Group Clinical Services,BD002,0,
2015/2016,Jul,01/07/2015,Pre-procedure elective bed days,ROYAL FREE HOSPITAL,Royal Free Hospital,BD002,0.680638723,
2015/2016,Jul,01/07/2015,Pre-procedure elective bed days,ROYAL FREE HOSPITAL,NA,BD002,1,
2015/2016,Jun,01/06/2015,Pre-procedure elective bed days,BARNET HOSPITAL,Barnet Hospital,BD002,0.038961039,
2015/2016,Jun,01/06/2015,Pre-procedure elective bed days,BARNET HOSPITAL,Group Clinical Services,BD002,0,
2015/2016,Jun,01/06/2015,Pre-procedure elective bed days,BARNET HOSPITAL,Royal Free Hospital,BD002,0.8,
2015/2016,Jun,01/06/2015,Pre-procedure elective bed days,BARNET HOSPITAL,NA,BD002,0,
2015/2016,Jun,01/06/2015,Pre-procedure elective bed days,CHASE FARM HOSPITAL,Barnet Hospital,BD002,0.004535147,
2015/2016,Jun,01/06/2015,Pre-procedure elective bed days,CHASE FARM HOSPITAL,Royal Free Hospital,BD002,0.00990099,
2015/2016,Jun,01/06/2015,Pre-procedure elective bed days,ROYAL FREE HOSPITAL,Barnet Hospital,BD002,0.374100719,
2015/2016,Jun,01/06/2015,Pre-procedure elective bed days,ROYAL FREE HOSPITAL,Royal Free Hospital,BD002,0.45106383,
2015/2016,Mar,01/03/2016,Pre-procedure elective bed days,BARNET HOSPITAL,Barnet Hospital,BD002,0.25,
2015/2016,Mar,01/03/2016,Pre-procedure elective bed days,BARNET HOSPITAL,Royal Free Hospital,BD002,0.923076923,
2015/2016,Mar,01/03/2016,Pre-procedure elective bed days,CHASE FARM HOSPITAL,Barnet Hospital,BD002,0.180212014,
2015/2016,Mar,01/03/2016,Pre-procedure elective bed days,CHASE FARM HOSPITAL,Royal Free Hospital,BD002,0.08,
2015/2016,Mar,01/03/2016,Pre-procedure elective bed days,EDGWARE COMMUNITY HOSPITAL,Royal Free Hospital,BD002,0,
2015/2016,Mar,01/03/2016,Pre-procedure elective bed days,ROYAL FREE HOSPITAL,Barnet Hospital,BD002,0.405797101,
2015/2016,Mar,01/03/2016,Pre-procedure elective bed days,ROYAL FREE HOSPITAL,Group Clinical Services,BD002,0,
2015/2016,Mar,01/03/2016,Pre-procedure elective bed days,ROYAL FREE HOSPITAL,Royal Free Hospital,BD002,0.520231214,
2015/2016,Mar,01/03/2016,Pre-procedure elective bed days,ROYAL FREE HOSPITAL,NA,BD002,0,
2015/2016,May,01/05/2015,Pre-procedure elective bed days,BARNET HOSPITAL,Barnet Hospital,BD002,0.08974359,
2015/2016,May,01/05/2015,Pre-procedure elective bed days,BARNET HOSPITAL,Royal Free Hospital,BD002,0,
2015/2016,May,01/05/2015,Pre-procedure elective bed days,CHASE FARM HOSPITAL,Barnet Hospital,BD002,0.002403846,
2015/2016,May,01/05/2015,Pre-procedure elective bed days,CHASE FARM HOSPITAL,Royal Free Hospital,BD002,0.011235955,
2015/2016,May,01/05/2015,Pre-procedure elective bed days,EDGWARE COMMUNITY HOSPITAL,Royal Free Hospital,BD002,0,
2015/2016,May,01/05/2015,Pre-procedure elective bed days,ROYAL FREE HOSPITAL,Barnet Hospital,BD002,0.2734375,
2015/2016,May,01/05/2015,Pre-procedure elective bed days,ROYAL FREE HOSPITAL,Royal Free Hospital,BD002,0.648230088,
2015/2016,Nov,01/11/2015,Pre-procedure elective bed days,BARNET HOSPITAL,Barnet Hospital,BD002,0.2,
2015/2016,Nov,01/11/2015,Pre-procedure elective bed days,BARNET HOSPITAL,Royal Free Hospital,BD002,0.7,
2015/2016,Nov,01/11/2015,Pre-procedure elective bed days,CHASE FARM HOSPITAL,Barnet Hospital,BD002,0.306273063,
2015/2016,Nov,01/11/2015,Pre-procedure elective bed days,CHASE FARM HOSPITAL,Royal Free Hospital,BD002,0.231707317,
2015/2016,Nov,01/11/2015,Pre-procedure elective bed days,EDGWARE COMMUNITY HOSPITAL,Royal Free Hospital,BD002,0.333333333,
2015/2016,Nov,01/11/2015,Pre-procedure elective bed days,Others,Royal Free Hospital,BD002,1,
2015/2016,Nov,01/11/2015,Pre-procedure elective bed days,ROYAL FREE HOSPITAL,Barnet Hospital,BD002,0.543307087,
2015/2016,Nov,01/11/2015,Pre-procedure elective bed days,ROYAL FREE HOSPITAL,Group Clinical Services,BD002,1,
2015/2016,Nov,01/11/2015,Pre-procedure elective bed days,ROYAL FREE HOSPITAL,Royal Free Hospital,BD002,0.602310231,
2015/2016,Nov,01/11/2015,Pre-procedure elective bed days,ROYAL FREE HOSPITAL,NA,BD002,0,
2015/2016,Oct,01/10/2015,Pre-procedure elective bed days,BARNET HOSPITAL,Barnet Hospital,BD002,0.056818182,
2015/2016,Oct,01/10/2015,Pre-procedure elective bed days,BARNET HOSPITAL,Group Clinical Services,BD002,0,
2015/2016,Oct,01/10/2015,Pre-procedure elective bed days,BARNET HOSPITAL,Royal Free Hospital,BD002,0.5,
2015/2016,Oct,01/10/2015,Pre-procedure elective bed days,CHASE FARM HOSPITAL,Barnet Hospital,BD002,0.043010753,
2015/2016,Oct,01/10/2015,Pre-procedure elective bed days,CHASE FARM HOSPITAL,Royal Free Hospital,BD002,0.038961039,
2015/2016,Oct,01/10/2015,Pre-procedure elective bed days,EDGWARE COMMUNITY HOSPITAL,Royal Free Hospital,BD002,0,
2015/2016,Oct,01/10/2015,Pre-procedure elective bed days,Others,Barnet Hospital,BD002,0,
2015/2016,Oct,01/10/2015,Pre-procedure elective bed days,Others,Royal Free Hospital,BD002,0.5,
2015/2016,Oct,01/10/2015,Pre-procedure elective bed days,ROYAL FREE HOSPITAL,Barnet Hospital,BD002,0.397163121,
2015/2016,Oct,01/10/2015,Pre-procedure elective bed days,ROYAL FREE HOSPITAL,Group Clinical Services,BD002,0,
2015/2016,Oct,01/10/2015,Pre-procedure elective bed days,ROYAL FREE HOSPITAL,Royal Free Hospital,BD002,0.550699301,
2015/2016,Sep,01/09/2015,Pre-procedure elective bed days,BARNET HOSPITAL,Barnet Hospital,BD002,0.041666667,
2015/2016,Sep,01/09/2015,Pre-procedure elective bed days,BARNET HOSPITAL,Royal Free Hospital,BD002,0.285714286,
2015/2016,Sep,01/09/2015,Pre-procedure elective bed days,BARNET HOSPITAL,NA,BD002,0,
2015/2016,Sep,01/09/2015,Pre-procedure elective bed days,CHASE FARM HOSPITAL,Barnet Hospital,BD002,0.00872093,
2015/2016,Sep,01/09/2015,Pre-procedure elective bed days,CHASE FARM HOSPITAL,Royal Free Hospital,BD002,0,
2015/2016,Sep,01/09/2015,Pre-procedure elective bed days,ROYAL FREE HOSPITAL,Barnet Hospital,BD002,0.406015038,
2015/2016,Sep,01/09/2015,Pre-procedure elective bed days,ROYAL FREE HOSPITAL,Royal Free Hospital,BD002,0.549682875,
2015/2016,Apr,01/04/2015,Pre-procedure non-elective bed days,BARNET HOSPITAL,Barnet Hospital,BD003,0.490010515,
2015/2016,Apr,01/04/2015,Pre-procedure non-elective bed days,BARNET HOSPITAL,Group Clinical Services,BD003,0,
2015/2016,Apr,01/04/2015,Pre-procedure non-elective bed days,BARNET HOSPITAL,Royal Free Hospital,BD003,0.914285714,
2015/2016,Apr,01/04/2015,Pre-procedure non-elective bed days,BARNET HOSPITAL,NA,BD003,1,
2015/2016,Apr,01/04/2015,Pre-procedure non-elective bed days,CHASE FARM HOSPITAL,Barnet Hospital,BD003,0,
2015/2016,Apr,01/04/2015,Pre-procedure non-elective bed days,ROYAL FREE HOSPITAL,Barnet Hospital,BD003,1.076923077,
2015/2016,Apr,01/04/2015,Pre-procedure non-elective bed days,ROYAL FREE HOSPITAL,Royal Free Hospital,BD003,0.943060498,
2015/2016,Aug,01/08/2015,Pre-procedure non-elective bed days,BARNET HOSPITAL,Barnet Hospital,BD003,0.436343852,
2015/2016,Aug,01/08/2015,Pre-procedure non-elective bed days,BARNET HOSPITAL,Group Clinical Services,BD003,0,
2015/2016,Aug,01/08/2015,Pre-procedure non-elective bed days,BARNET HOSPITAL,Royal Free Hospital,BD003,0.916666667,
2015/2016,Aug,01/08/2015,Pre-procedure non-elective bed days,CHASE FARM HOSPITAL,Barnet Hospital,BD003,0,
2015/2016,Aug,01/08/2015,Pre-procedure non-elective bed days,ROYAL FREE HOSPITAL,Barnet Hospital,BD003,0.726190476,
2015/2016,Aug,01/08/2015,Pre-procedure non-elective bed days,ROYAL FREE HOSPITAL,Royal Free Hospital,BD003,1.018963338,
2015/2016,Aug,01/08/2015,Pre-procedure non-elective bed days,ROYAL FREE HOSPITAL,NA,BD003,0.25,
2015/2016,Dec,01/12/2015,Pre-procedure non-elective bed days,BARNET HOSPITAL,Barnet Hospital,BD003,0.555226824,
2015/2016,Dec,01/12/2015,Pre-procedure non-elective bed days,BARNET HOSPITAL,Group Clinical Services,BD003,0,
2015/2016,Dec,01/12/2015,Pre-procedure non-elective bed days,BARNET HOSPITAL,Royal Free Hospital,BD003,2,
2015/2016,Dec,01/12/2015,Pre-procedure non-elective bed days,BARNET HOSPITAL,NA,BD003,0,
2015/2016,Dec,01/12/2015,Pre-procedure non-elective bed days,CHASE FARM HOSPITAL,Barnet Hospital,BD003,2.083333333,
2015/2016,Dec,01/12/2015,Pre-procedure non-elective bed days,CHASE FARM HOSPITAL,Chase Farm Hospital,BD003,0,
2015/2016,Dec,01/12/2015,Pre-procedure non-elective bed days,ROYAL FREE HOSPITAL,Barnet Hospital,BD003,1.104166667,
2015/2016,Dec,01/12/2015,Pre-procedure non-elective bed days,ROYAL FREE HOSPITAL,Royal Free Hospital,BD003,1.030188679,
2015/2016,Dec,01/12/2015,Pre-procedure non-elective bed days,ROYAL FREE HOSPITAL,NA,BD003,3.5,
2015/2016,Feb,01/02/2016,Pre-procedure non-elective bed days,BARNET HOSPITAL,Barnet Hospital,BD003,0.730545877,
2015/2016,Feb,01/02/2016,Pre-procedure non-elective bed days,BARNET HOSPITAL,Group Clinical Services,BD003,0,
2015/2016,Feb,01/02/2016,Pre-procedure non-elective bed days,BARNET HOSPITAL,Royal Free Hospital,BD003,1.2,
2015/2016,Feb,01/02/2016,Pre-procedure non-elective bed days,CHASE FARM HOSPITAL,Barnet Hospital,BD003,7,
2015/2016,Feb,01/02/2016,Pre-procedure non-elective bed days,CHASE FARM HOSPITAL,Royal Free Hospital,BD003,1,
2015/2016,Feb,01/02/2016,Pre-procedure non-elective bed days,ROYAL FREE HOSPITAL,Barnet Hospital,BD003,0.816326531,
2015/2016,Feb,01/02/2016,Pre-procedure non-elective bed days,ROYAL FREE HOSPITAL,Group Clinical Services,BD003,0,
2015/2016,Feb,01/02/2016,Pre-procedure non-elective bed days,ROYAL FREE HOSPITAL,Royal Free Hospital,BD003,0.88946684,
2015/2016,Feb,01/02/2016,Pre-procedure non-elective bed days,ROYAL FREE HOSPITAL,NA,BD003,4.333333333,
2015/2016,Jan,01/01/2016,Pre-procedure non-elective bed days,BARNET HOSPITAL,Barnet Hospital,BD003,0.734149055,
2015/2016,Jan,01/01/2016,Pre-procedure non-elective bed days,BARNET HOSPITAL,Royal Free Hospital,BD003,2.533333333,
2015/2016,Jan,01/01/2016,Pre-procedure non-elective bed days,CHASE FARM HOSPITAL,Barnet Hospital,BD003,14.75,
2015/2016,Jan,01/01/2016,Pre-procedure non-elective bed days,CHASE FARM HOSPITAL,Royal Free Hospital,BD003,0,
2015/2016,Jan,01/01/2016,Pre-procedure non-elective bed days,ROYAL FREE HOSPITAL,Barnet Hospital,BD003,0.831325301,
2015/2016,Jan,01/01/2016,Pre-procedure non-elective bed days,ROYAL FREE HOSPITAL,Royal Free Hospital,BD003,1.058823529,
2015/2016,Jul,01/07/2015,Pre-procedure non-elective bed days,BARNET HOSPITAL,Barnet Hospital,BD003,0.416582406,
2015/2016,Jul,01/07/2015,Pre-procedure non-elective bed days,BARNET HOSPITAL,Group Clinical Services,BD003,0,
2015/2016,Jul,01/07/2015,Pre-procedure non-elective bed days,BARNET HOSPITAL,Royal Free Hospital,BD003,0.692307692,
2015/2016,Jul,01/07/2015,Pre-procedure non-elective bed days,BARNET HOSPITAL,NA,BD003,2,
2015/2016,Jul,01/07/2015,Pre-procedure non-elective bed days,CHASE FARM HOSPITAL,Barnet Hospital,BD003,0,
2015/2016,Jul,01/07/2015,Pre-procedure non-elective bed days,CHASE FARM HOSPITAL,Royal Free Hospital,BD003,0,
2015/2016,Jul,01/07/2015,Pre-procedure non-elective bed days,ROYAL FREE HOSPITAL,Barnet Hospital,BD003,1.122222222,
2015/2016,Jul,01/07/2015,Pre-procedure non-elective bed days,ROYAL FREE HOSPITAL,Group Clinical Services,BD003,1,
2015/2016,Jul,01/07/2015,Pre-procedure non-elective bed days,ROYAL FREE HOSPITAL,Royal Free Hospital,BD003,0.987789988,
2015/2016,Jul,01/07/2015,Pre-procedure non-elective bed days,ROYAL FREE HOSPITAL,NA,BD003,1,
2015/2016,Jun,01/06/2015,Pre-procedure non-elective bed days,BARNET HOSPITAL,Barnet Hospital,BD003,0.334307992,
2015/2016,Jun,01/06/2015,Pre-procedure non-elective bed days,BARNET HOSPITAL,Group Clinical Services,BD003,0,
2015/2016,Jun,01/06/2015,Pre-procedure non-elective bed days,BARNET HOSPITAL,Royal Free Hospital,BD003,0.414634146,
2015/2016,Jun,01/06/2015,Pre-procedure non-elective bed days,BARNET HOSPITAL,NA,BD003,0,
2015/2016,Jun,01/06/2015,Pre-procedure non-elective bed days,CHASE FARM HOSPITAL,Barnet Hospital,BD003,0,
2015/2016,Jun,01/06/2015,Pre-procedure non-elective bed days,ROYAL FREE HOSPITAL,Barnet Hospital,BD003,0.853658537,
2015/2016,Jun,01/06/2015,Pre-procedure non-elective bed days,ROYAL FREE HOSPITAL,Group Clinical Services,BD003,0,
2015/2016,Jun,01/06/2015,Pre-procedure non-elective bed days,ROYAL FREE HOSPITAL,Royal Free Hospital,BD003,0.891791045,
2015/2016,Mar,01/03/2016,Pre-procedure non-elective bed days,BARNET HOSPITAL,Barnet Hospital,BD003,0.497326203,
2015/2016,Mar,01/03/2016,Pre-procedure non-elective bed days,BARNET HOSPITAL,Royal Free Hospital,BD003,0.636363636,
2015/2016,Mar,01/03/2016,Pre-procedure non-elective bed days,CHASE FARM HOSPITAL,Barnet Hospital,BD003,0.5,
2015/2016,Mar,01/03/2016,Pre-procedure non-elective bed days,ROYAL FREE HOSPITAL,Barnet Hospital,BD003,0.846153846,
2015/2016,Mar,01/03/2016,Pre-procedure non-elective bed days,ROYAL FREE HOSPITAL,Royal Free Hospital,BD003,1.079075426,
2015/2016,Mar,01/03/2016,Pre-procedure non-elective bed days,ROYAL FREE HOSPITAL,NA,BD003,1.5,
2015/2016,May,01/05/2015,Pre-procedure non-elective bed days,BARNET HOSPITAL,Barnet Hospital,BD003,0.343564356,
2015/2016,May,01/05/2015,Pre-procedure non-elective bed days,BARNET HOSPITAL,Group Clinical Services,BD003,0,
2015/2016,May,01/05/2015,Pre-procedure non-elective bed days,BARNET HOSPITAL,Royal Free Hospital,BD003,0.657142857,
2015/2016,May,01/05/2015,Pre-procedure non-elective bed days,CHASE FARM HOSPITAL,Barnet Hospital,BD003,3.6,
2015/2016,May,01/05/2015,Pre-procedure non-elective bed days,ROYAL FREE HOSPITAL,Barnet Hospital,BD003,0.788235294,
2015/2016,May,01/05/2015,Pre-procedure non-elective bed days,ROYAL FREE HOSPITAL,Royal Free Hospital,BD003,0.960757781,
2015/2016,May,01/05/2015,Pre-procedure non-elective bed days,ROYAL FREE HOSPITAL,NA,BD003,0,
2015/2016,Nov,01/11/2015,Pre-procedure non-elective bed days,BARNET HOSPITAL,Barnet Hospital,BD003,0.966063348,
2015/2016,Nov,01/11/2015,Pre-procedure non-elective bed days,BARNET HOSPITAL,Group Clinical Services,BD003,0,
2015/2016,Nov,01/11/2015,Pre-procedure non-elective bed days,BARNET HOSPITAL,Royal Free Hospital,BD003,1.93220339,
2015/2016,Nov,01/11/2015,Pre-procedure non-elective bed days,CHASE FARM HOSPITAL,Barnet Hospital,BD003,3.111111111,
2015/2016,Nov,01/11/2015,Pre-procedure non-elective bed days,CHASE FARM HOSPITAL,Chase Farm Hospital,BD003,0,
2015/2016,Nov,01/11/2015,Pre-procedure non-elective bed days,ROYAL FREE HOSPITAL,Barnet Hospital,BD003,0.793814433,
2015/2016,Nov,01/11/2015,Pre-procedure non-elective bed days,ROYAL FREE HOSPITAL,Royal Free Hospital,BD003,1.082733813,
2015/2016,Nov,01/11/2015,Pre-procedure non-elective bed days,ROYAL FREE HOSPITAL,NA,BD003,0.5,
2015/2016,Oct,01/10/2015,Pre-procedure non-elective bed days,BARNET HOSPITAL,Barnet Hospital,BD003,0.401106501,
2015/2016,Oct,01/10/2015,Pre-procedure non-elective bed days,BARNET HOSPITAL,Group Clinical Services,BD003,0,
2015/2016,Oct,01/10/2015,Pre-procedure non-elective bed days,BARNET HOSPITAL,Royal Free Hospital,BD003,1.157894737,
2015/2016,Oct,01/10/2015,Pre-procedure non-elective bed days,CHASE FARM HOSPITAL,Barnet Hospital,BD003,2.5,
2015/2016,Oct,01/10/2015,Pre-procedure non-elective bed days,ROYAL FREE HOSPITAL,Barnet Hospital,BD003,0.628865979,
2015/2016,Oct,01/10/2015,Pre-procedure non-elective bed days,ROYAL FREE HOSPITAL,Royal Free Hospital,BD003,1.001269036,
2015/2016,Oct,01/10/2015,Pre-procedure non-elective bed days,ROYAL FREE HOSPITAL,NA,BD003,1,
2015/2016,Sep,01/09/2015,Pre-procedure non-elective bed days,BARNET HOSPITAL,Barnet Hospital,BD003,0.487431694,
2015/2016,Sep,01/09/2015,Pre-procedure non-elective bed days,BARNET HOSPITAL,Group Clinical Services,BD003,0,
2015/2016,Sep,01/09/2015,Pre-procedure non-elective bed days,BARNET HOSPITAL,Royal Free Hospital,BD003,0.512820513,
2015/2016,Sep,01/09/2015,Pre-procedure non-elective bed days,BARNET HOSPITAL,NA,BD003,1,
2015/2016,Sep,01/09/2015,Pre-procedure non-elective bed days,CHASE FARM HOSPITAL,Barnet Hospital,BD003,2.428571429,
2015/2016,Sep,01/09/2015,Pre-procedure non-elective bed days,ROYAL FREE HOSPITAL,Barnet Hospital,BD003,0.639534884,
2015/2016,Sep,01/09/2015,Pre-procedure non-elective bed days,ROYAL FREE HOSPITAL,Royal Free Hospital,BD003,1.004956629,
2015/2016,Sep,01/09/2015,Pre-procedure non-elective bed days,ROYAL FREE HOSPITAL,NA,BD003,0,
2015/2016,Apr,01/04/2015,Elective Mean Length Of Stay,BARNET HOSPITAL,Barnet Hospital,CQ007,4.012048193,
2015/2016,Apr,01/04/2015,Elective Mean Length Of Stay,BARNET HOSPITAL,Group Clinical Services,CQ007,0,
2015/2016,Apr,01/04/2015,Elective Mean Length Of Stay,BARNET HOSPITAL,Missing,CQ007,0,
2015/2016,Apr,01/04/2015,Elective Mean Length Of Stay,BARNET HOSPITAL,Royal Free Hospital,CQ007,3,
2015/2016,Apr,01/04/2015,Elective Mean Length Of Stay,CHASE FARM HOSPITAL,Barnet Hospital,CQ007,1.458646617,
2015/2016,Apr,01/04/2015,Elective Mean Length Of Stay,CHASE FARM HOSPITAL,Chase Farm Hospital,CQ007,0,
2015/2016,Apr,01/04/2015,Elective Mean Length Of Stay,CHASE FARM HOSPITAL,Royal Free Hospital,CQ007,0.963963964,
2015/2016,Apr,01/04/2015,Elective Mean Length Of Stay,EDGWARE COMMUNITY HOSPITAL,Royal Free Hospital,CQ007,56.11111111,
2015/2016,Apr,01/04/2015,Elective Mean Length Of Stay,Others,Barnet Hospital,CQ007,0,
2015/2016,Apr,01/04/2015,Elective Mean Length Of Stay,Others,Missing,CQ007,6,
2015/2016,Apr,01/04/2015,Elective Mean Length Of Stay,Others,Royal Free Hospital,CQ007,0,
2015/2016,Apr,01/04/2015,Elective Mean Length Of Stay,Others,NA,CQ007,0,
2015/2016,Apr,01/04/2015,Elective Mean Length Of Stay,ROYAL FREE HOSPITAL,Barnet Hospital,CQ007,3.109677419,
2015/2016,Apr,01/04/2015,Elective Mean Length Of Stay,ROYAL FREE HOSPITAL,Group Clinical Services,CQ007,0,
2015/2016,Apr,01/04/2015,Elective Mean Length Of Stay,ROYAL FREE HOSPITAL,Missing,CQ007,0,
